Player ,Grade,Position,Team,Year ,ConfStanding,c,po,a,e,fp,dp,sba,csb,sbap,pb,ci,GoldGlove
Busch,Sr,P, CSUP ,2015,2,0 ,0 ,0 ,0 ,.000 ,0 ,1 ,0 ,1.000 ,0 ,0 ,No
Casler,Sr,P, CSUP ,2015,2,0 ,0 ,0 ,0 ,.000 ,0 ,1 ,0 ,1.000 ,0 ,0 ,No
Chavez,Sr,OF, CSUP ,2015,2,78 ,74 ,2 ,2 ,.974 ,0 ,0 ,0 ,0 ,0 ,0 ,No
Finley,Sr,P, CSUP ,2015,2,10 ,4 ,5 ,1 ,.900 ,0 ,1 ,3 ,.250 ,0 ,0 ,No
Landrith,Sr,C, CSUP ,2015,2,43 ,33 ,7 ,3 ,.930 ,2 ,9 ,0 ,1.000 ,1 ,0 ,No
Masterson,Sr,P, CSUP ,2015,2,1 ,0 ,1 ,0 ,1.000 ,0 ,0 ,0 ,0 ,0 ,0 ,No
Ortiz,Sr,OF, CSUP ,2015,2,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,0 ,0 ,No
Ramsey,Sr,OF, CSUP ,2015,2,13 ,10 ,2 ,1 ,.923 ,0 ,0 ,0 ,0 ,0 ,0 ,No
Richins,Sr,INF, CSUP ,2015,2,177 ,60 ,106 ,11 ,.938 ,20 ,0 ,0 ,0 ,0 ,0 ,No
Soto,Sr,P, CSUP ,2015,2,18 ,5 ,13 ,0 ,1.000 ,2 ,14 ,5 ,.737 ,0 ,0 ,No
Sylvester,Sr,P, CSUP ,2015,2,4 ,1 ,1 ,2 ,.500 ,0 ,1 ,0 ,1.000 ,0 ,0 ,No
Vigil,Sr,INF, CSUP ,2015,2,125 ,38 ,80 ,7 ,.944 ,15 ,0 ,0 ,0 ,0 ,0 ,No
Williams,Sr,P, CSUP ,2015,2,10 ,0 ,10 ,0 ,1.000 ,0 ,4 ,1 ,.800 ,0 ,0 ,No
Wittmus,Sr,P, CSUP ,2015,2,22 ,6 ,15 ,1 ,.955 ,2 ,5 ,3 ,.625 ,0 ,0 ,No
Brady,Sr,OF, CSUP ,2016,3,1 ,1 ,0 ,0 ,1.000 ,0 ,0 ,0 ,0 ,0 ,0 ,No
Cebulski,Sr,C, CSUP ,2016,3,304 ,264 ,34 ,6 ,.980 ,1 ,36 ,16 ,.692 ,5 ,1 ,No
DeHerrera,Sr,C, CSUP ,2016,3,11 ,10 ,0 ,1 ,.909 ,1 ,0 ,0 ,0 ,0 ,0 ,No
Gimenez,Sr,P, CSUP ,2016,3,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,0 ,0 ,No
Godman,Sr,OF, CSUP ,2016,3,111 ,104 ,3 ,4 ,.964 ,0 ,0 ,0 ,0 ,0 ,0 ,No
Griffin,Sr,OF, CSUP ,2016,3,29 ,28 ,1 ,0 ,1.000 ,1 ,0 ,0 ,0 ,0 ,0 ,No
Menocal,Sr,INF, CSUP ,2016,3,77 ,16 ,53 ,8 ,.896 ,2 ,0 ,0 ,0 ,0 ,0 ,No
Rich,Sr,P, CSUP ,2016,3,10 ,2 ,7 ,1 ,.900 ,0 ,5 ,1 ,.833 ,0 ,0 ,No
Vinci,Sr,INF, CSUP ,2016,3,9 ,4 ,4 ,1 ,.889 ,1 ,0 ,0 ,0 ,0 ,0 ,No
Castaneda,Sr,INF, CSUP ,2017,4,1 ,1 ,0 ,0 ,1.000 ,0 ,1 ,0 ,1.000 ,0 ,0 ,No
Castaneda,Sr,P, CSUP ,2017,4,212 ,64 ,138 ,10 ,.953 ,32 ,0 ,0 ,0 ,0 ,0 ,No
Daniels,Sr,OF, CSUP ,2017,4,16 ,15 ,0 ,1 ,.938 ,0 ,0 ,0 ,0 ,0 ,0 ,No
Davis,Sr,UT, CSUP ,2017,4,76 ,72 ,4 ,0 ,1.000 ,1 ,0 ,0 ,0 ,0 ,0 ,No
Doucette,Sr,C, CSUP ,2017,4,78 ,72 ,6 ,0 ,1.000 ,0 ,9 ,4 ,.692 ,6 ,0 ,No
Gunther,Sr,INF, CSUP ,2017,4,223 ,96 ,118 ,9 ,.960 ,35 ,0 ,0 ,0 ,0 ,0 ,No
Hall,Sr,P, CSUP ,2017,4,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,0 ,0 ,No
Jones,Sr,OF, CSUP ,2017,4,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,0 ,0 ,No
Juracek,Sr,P, CSUP ,2017,4,1 ,0 ,1 ,0 ,1.000 ,0 ,1 ,2 ,.333 ,0 ,0 ,No
Lazcano,Sr,P, CSUP ,2017,4,25 ,8 ,11 ,6 ,.760 ,1 ,4 ,4 ,.500 ,0 ,0 ,No
Megyeri,Sr,P, CSUP ,2017,4,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,0 ,0 ,No
Nuernberg,Sr,P, CSUP ,2017,4,15 ,3 ,9 ,3 ,.800 ,1 ,6 ,2 ,.750 ,0 ,0 ,No
Peeler,Sr,P, CSUP ,2017,4,7 ,1 ,6 ,0 ,1.000 ,0 ,6 ,4 ,.600 ,0 ,0 ,No
Visinoni,Sr,P, CSUP ,2017,4,0 ,0 ,0 ,0 ,.000 ,0 ,5 ,0 ,1.000 ,0 ,0 ,No
Weinberg,Sr,P, CSUP ,2017,4,1 ,0 ,1 ,0 ,1.000 ,0 ,0 ,0 ,0 ,0 ,0 ,No
Willman,Sr,OF, CSUP ,2017,4,7 ,7 ,0 ,0 ,1.000 ,0 ,0 ,0 ,0 ,0 ,0 ,No
Arceneaux,Sr,P,MSUD,2013,6,24,1,22,1,0.958,0,7,5,0.583,0,0,No
Cammall,Sr,INF,MSUD,2013,6,230,64,150,16,0.93,32,0,0,0,0,0,No
Carpenter,Sr,P,MSUD,2013,6,10,6,3,1,0.9,0,4,0,1,0,0,No
Luzon,Sr,P,MSUD,2013,6,5,1,4,0,1,1,1,2,0.333,0,0,No
Nelson,Sr,INF,MSUD,2013,6,81,23,48,10,0.877,3,0,0,0,0,0,No
Ortivez,Sr,C,MSUD,2013,6,241,200,31,10,0.959,1,41,16,0.719,15,2,No
Schrupp,Sr,OF,MSUD,2013,6,63,59,2,2,0.968,0,0,0,0,0,0,No
Baldini,Sr,INF,MSUD,2014,7,192,60,120,12,0.938,33,0,0,0,0,0,No
Ford,Sr,P,MSUD,2014,7,5,1,3,1,0.8,0,0,1,0,0,0,No
Hand,Sr,P,MSUD,2014,7,10,3,6,1,0.9,0,6,2,0.75,0,0,No
Purvis,Sr,OF,MSUD,2014,7,96,91,3,2,0.979,4,0,0,0,0,0,No
Reeves,Sr,INF,MSUD,2014,7,95,17,60,18,0.811,7,0,0,0,0,0,No
Baca,Sr,C, MSUD ,2015,3,395 ,333 ,57 ,5 ,.987 ,3 ,38 ,25 ,.603 ,6 ,0 ,No
Gibbons,Sr,OF, MSUD ,2015,3,109 ,103 ,5 ,1 ,.991 ,2 ,0 ,0 ,0 ,0 ,0 ,No
Hammett,Sr,P, MSUD ,2015,3,12 ,4 ,7 ,1 ,.917 ,1 ,13 ,3 ,.813 ,0 ,0 ,No
Lalk,Sr,P, MSUD ,2015,3,33 ,7 ,23 ,3 ,.909 ,0 ,4 ,3 ,.571 ,0 ,0 ,No
Miller,Sr,INF, MSUD ,2015,3,53 ,48 ,5 ,0 ,1.000 ,3 ,0 ,0 ,0 ,0 ,0 ,No
Spirek,Sr,INF, MSUD ,2015,3,28 ,18 ,8 ,2 ,.929 ,1 ,0 ,0 ,0 ,0 ,0 ,No
Thill,Sr,P, MSUD ,2015,3,17 ,0 ,16 ,1 ,.941 ,0 ,9 ,6 ,.600 ,0 ,0 ,No
Barron,Sr,INF, MSUD ,2016,5,4 ,2 ,1 ,1 ,.750 ,0 ,0 ,0 ,0 ,0 ,0 ,No
Comito,Sr,INF, MSUD ,2016,5,183 ,63 ,114 ,6 ,.967 ,20 ,0 ,0 ,0 ,0 ,0 ,No
Levett,Sr,OF, MSUD ,2016,5,44 ,41 ,0 ,3 ,.932 ,0 ,0 ,0 ,0 ,0 ,0 ,No
Stroup,Sr,P, MSUD ,2016,5,12 ,1 ,10 ,1 ,.917 ,1 ,8 ,2 ,.800 ,0 ,0 ,No
Walker,Sr,OF, MSUD ,2016,5,26 ,25 ,0 ,1 ,.962 ,0 ,0 ,0 ,0 ,0 ,0 ,No
Bean,Sr,C, MSUD ,2017,3,267 ,217 ,43 ,7 ,.974 ,1 ,40 ,16 ,.714 ,19 ,0 ,No
Ekman,Sr,OF, MSUD ,2017,3,111 ,101 ,5 ,5 ,.955 ,0 ,0 ,0 ,0 ,0 ,0 ,No
Mccasky,Sr,C, MSUD ,2017,3,94 ,85 ,7 ,2 ,.979 ,0 ,17 ,2 ,.895 ,2 ,0 ,No
Moore,Sr,P, MSUD ,2017,3,3 ,0 ,3 ,0 ,1.000 ,1 ,1 ,0 ,1.000 ,0 ,0 ,No
Stimpson,Sr,P, MSUD ,2017,3,25 ,16 ,7 ,2 ,.920 ,0 ,3 ,2 ,.600 ,0 ,0 ,No
Thurston,Sr,INF, MSUD ,2017,3,256 ,81 ,162 ,13 ,.949 ,33 ,0 ,0 ,0 ,0 ,0 ,No
Yacovetta,Sr,P, MSUD ,2017,3,3 ,1 ,2 ,0 ,1.000 ,1 ,8 ,0 ,1.000 ,0 ,0 ,No
Chavez,Sr,OF,NMHU,2013,3,40,38,2,0,1,0,0,0,0,0,0,No
Davis,Sr,OF,NMHU,2013,3,107,87,18,2,0.981,0,29,1,0.967,3,0,No
Falvey,Sr,OF,NMHU,2013,3,51,45,4,2,0.961,0,0,0,0,0,0,No
Frazier,Sr,INF,NMHU,2013,3,109,39,65,5,0.954,11,0,0,0,0,0,No
Gualco,Sr,OF,NMHU,2013,3,12,10,0,2,0.833,0,0,1,0,0,0,No
Hite,Sr,P,NMHU,2013,3,6,0,5,1,0.833,0,6,3,0.667,0,0,No
Jamerson,Sr,INF,NMHU,2013,3,114,28,80,6,0.947,16,0,0,0,0,0,No
Lyons,Sr,INF,NMHU,2013,3,41,37,3,1,0.976,2,0,0,0,0,0,No
Pile,Sr,C,NMHU,2013,3,33,32,1,0,1,0,4,0,1,2,0,No
Prokupek,Sr,P,NMHU,2013,3,23,6,15,2,0.913,3,15,1,0.938,0,0,No
Torres,Sr,P,NMHU,2013,3,25,1,23,1,0.96,0,9,3,0.75,0,0,No
Vela,Sr,P,NMHU,2013,3,1,0,1,0,1,0,15,2,0.882,0,0,No
Ward,Sr,INF,NMHU,2013,3,222,201,17,4,0.982,17,0,0,0,0,0,No
Clark,Sr,P,NMHU,2014,2,3,3,0,0,1,0,9,5,0.643,0,0,No
Davis,Sr,C,NMHU,2014,2,49,41,7,1,0.98,0,9,2,0.818,3,1,No
Goliat,Sr,OF,NMHU,2014,2,136,128,4,4,0.971,1,0,0,0,0,0,No
Hansen,Sr,P,NMHU,2014,2,19,5,12,2,0.895,0,11,8,0.579,0,0,No
Hayes,Sr,INF,NMHU,2014,2,188,59,115,14,0.926,24,0,0,0,0,0,No
Hernandez,Sr,P,NMHU,2014,2,0,0,0,0,0,0,1,2,0.333,0,0,No
Ledford,Sr,INF,NMHU,2014,2,358,333,18,7,0.98,28,0,0,0,0,0,No
Martinez,Sr,P,NMHU,2014,2,1,1,0,0,1,0,0,0,0,0,0,No
Middleton,Sr,OF,NMHU,2014,2,50,46,3,1,0.98,0,0,0,0,0,0,No
Ruff,Sr,INF,NMHU,2014,2,34,8,24,2,0.941,4,10,1,0.909,0,0,No
Siqueiros,Sr,INF,NMHU,2014,2,2,2,0,0,1,0,0,0,0,0,0,No
Stavinoha,Sr,INF,NMHU,2014,2,96,29,56,11,0.885,11,0,0,0,0,0,No
Badalucco,Sr,P, NMHU ,2015,5,18 ,3 ,15 ,0 ,1.000 ,0 ,4 ,5 ,.444 ,0 ,0 ,No
Cervantes,Sr,INF, NMHU ,2015,5,92 ,35 ,49 ,8 ,.913 ,5 ,0 ,0 ,0 ,0 ,0 ,No
Chavez,Sr,INF, NMHU ,2015,5,2 ,0 ,2 ,0 ,1.000 ,0 ,0 ,1 ,.000 ,0 ,0 ,No
Garcia,Sr,INF, NMHU ,2015,5,99 ,30 ,67 ,2 ,.980 ,14 ,0 ,0 ,0 ,0 ,0 ,No
Gonzales,Sr,INF, NMHU ,2015,5,169 ,71 ,92 ,6 ,.964 ,20 ,0 ,0 ,0 ,0 ,0 ,No
Hicks,Sr,P, NMHU ,2015,5,1 ,0 ,1 ,0 ,1.000 ,0 ,0 ,0 ,0 ,0 ,0 ,No
McCasland,Sr,C, NMHU ,2015,5,233 ,199 ,28 ,6 ,.974 ,4 ,24 ,13 ,.649 ,6 ,0 ,No
Ratterman,Sr,OF, NMHU ,2015,5,45 ,39 ,3 ,3 ,.933 ,1 ,0 ,0 ,0 ,0 ,0 ,No
Settles,Sr,P, NMHU ,2015,5,1 ,0 ,1 ,0 ,1.000 ,0 ,3 ,1 ,.750 ,0 ,0 ,No
Sordia,Sr,C, NMHU ,2015,5,16 ,10 ,6 ,0 ,1.000 ,1 ,0 ,0 ,0 ,0 ,0 ,No
Stanton,Sr,C, NMHU ,2015,5,116 ,99 ,17 ,0 ,1.000 ,1 ,8 ,8 ,.500 ,2 ,0 ,No
Wilmer,Sr,OF, NMHU ,2015,5,86 ,79 ,2 ,5 ,.942 ,0 ,0 ,0 ,0 ,0 ,0 ,No
Badalucco,Sr,P, NMHU ,2016,7,8 ,5 ,3 ,0 ,1.000 ,0 ,12 ,3 ,.800 ,0 ,0 ,No
Brandon,Sr,P, NMHU ,2016,7,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,0 ,0 ,No
Caporal,Sr,INF, NMHU ,2016,7,238 ,73 ,159 ,6 ,.975 ,30 ,0 ,0 ,0 ,0 ,0 ,No
Gonzalez,Sr,INF, NMHU ,2016,7,104 ,22 ,68 ,14 ,.865 ,5 ,0 ,0 ,0 ,0 ,0 ,No
Gutierrez,Sr,P, NMHU ,2016,7,7 ,1 ,5 ,1 ,.857 ,2 ,3 ,2 ,.600 ,0 ,0 ,No
Bishop,Sr,P, NMHU ,2017,7,0 ,0 ,0 ,0 ,.000 ,0 ,1 ,0 ,1.000 ,0 ,0 ,No
Blackwell,Sr,UT, NMHU ,2017,7,388 ,366 ,12 ,10 ,.974 ,30 ,0 ,0 ,0 ,0 ,0 ,No
Chaparro,Sr,OF, NMHU ,2017,7,23 ,17 ,3 ,3 ,.870 ,1 ,0 ,0 ,0 ,0 ,0 ,No
Garcia,Sr,OF, NMHU ,2017,7,112 ,93 ,14 ,5 ,.955 ,2 ,0 ,0 ,0 ,0 ,0 ,No
Lawson,Sr,P, NMHU ,2017,7,12 ,1 ,9 ,2 ,.833 ,0 ,4 ,0 ,1.000 ,0 ,0 ,No
McCarty,Sr,OF, NMHU ,2017,7,88 ,80 ,2 ,6 ,.932 ,0 ,0 ,0 ,0 ,0 ,0 ,No
Medina,Sr,C, NMHU ,2017,7,58 ,48 ,9 ,1 ,.983 ,0 ,17 ,5 ,.773 ,4 ,0 ,No
Nelson,Sr,P, NMHU ,2017,7,7 ,0 ,7 ,0 ,1.000 ,0 ,1 ,2 ,.333 ,0 ,0 ,No
Norris,Sr,P, NMHU ,2017,7,7 ,0 ,7 ,0 ,1.000 ,0 ,9 ,0 ,1.000 ,0 ,0 ,No
Siedlecki,Sr,P, NMHU ,2017,7,3 ,1 ,2 ,0 ,1.000 ,0 ,3 ,0 ,1.000 ,0 ,0 ,No
Sielinski,Sr,C, NMHU ,2017,7,5 ,3 ,2 ,0 ,1.000 ,0 ,3 ,0 ,1.000 ,0 ,0 ,No
Smithson,Sr,C, NMHU ,2017,7,1 ,1 ,0 ,0 ,1.000 ,0 ,0 ,0 ,0 ,0 ,0 ,No
Trujillo,Sr,P, NMHU ,2017,7,14 ,3 ,8 ,3 ,.786 ,0 ,14 ,4 ,.778 ,0 ,0 ,No
Aronson,Sr,P,RU,2013,4,2,0,2,0,1,0,4,1,0.8,0,0,No
Billinger,Sr,INF,RU,2013,4,190,82,102,6,0.968,22,0,0,0,0,0,No
Capra,Sr,P,RU,2013,4,3,0,2,1,0.667,0,4,4,0.5,0,0,No
Eustice,Sr,OF,RU,2013,4,42,39,2,1,0.976,1,0,0,0,0,0,No
Harms,Sr,P,RU,2013,4,21,4,17,0,1,1,7,7,0.5,0,0,No
Hastings,Sr,INF,RU,2013,4,230,66,150,14,0.939,32,0,0,0,0,0,No
Jacobsen,Sr,C,RU,2013,4,114,99,11,4,0.965,0,7,7,0.5,2,0,No
Lewis,Sr,C,RU,2013,4,6,6,0,0,1,0,0,0,0,1,0,No
Mack,Sr,P,RU,2013,4,4,0,4,0,1,0,1,0,1,0,0,No
Terry,Sr,OF,RU,2013,4,76,71,1,4,0.947,0,0,0,0,0,0,No
Koch,Sr,P,RU,2014,5,2,0,2,0,1,0,1,0,1,0,0,No
Piazza,Sr,INF,RU,2014,5,204,133,64,7,0.966,14,0,0,0,0,0,No
Picconi,Sr,P,RU,2014,5,5,2,2,1,0.8,0,5,3,0.625,0,0,No
Rollinson,Sr,OF,RU,2014,5,0,0,0,0,0,0,0,0,0,0,0,No
Ross,Sr,P,RU,2014,5,5,1,4,0,1,0,2,2,0.5,0,0,No
Schicktanz,Sr,INF,RU,2014,5,260,215,36,9,0.965,14,0,0,0,0,0,No
Shoutta,Sr,OF,RU,2014,5,115,107,7,1,0.991,9,0,0,0,0,0,No
Tosches,Sr,OF,RU,2014,5,29,26,0,3,0.897,0,0,0,0,0,0,No
Blaylock,Sr,P, RU ,2015,7,9 ,2 ,7 ,0 ,1.000 ,0 ,3 ,1 ,.750 ,0 ,0 ,No
Knox,Sr,INF, RU ,2015,7,128 ,29 ,88 ,11 ,.914 ,6 ,0 ,0 ,0 ,0 ,0 ,No
Heyliger,Sr,P, RU ,2015,7,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,0 ,0 ,No
Schwein,Sr,P, RU ,2016,6,17 ,3 ,14 ,0 ,1.000 ,1 ,7 ,3 ,.700 ,0 ,0 ,No
Sture,Sr,OF, RU ,2016,6,16 ,15 ,1 ,0 ,1.000 ,0 ,0 ,0 ,0 ,0 ,0 ,No
Waterman,Sr,P, RU ,2016,6,2 ,0 ,2 ,0 ,1.000 ,0 ,0 ,0 ,0 ,0 ,0 ,No
Byers,Sr,OF, RU ,2016,6,46 ,42 ,3 ,1 ,.978 ,0 ,0 ,0 ,0 ,0 ,0 ,No
Navarro,Sr,INF, RU ,2016,6,182 ,165 ,13 ,4 ,.978 ,12 ,0 ,0 ,0 ,0 ,0 ,No
LaComb,Sr,INF, RU ,2016,6,126 ,27 ,91 ,8 ,.937 ,11 ,0 ,0 ,0 ,0 ,0 ,No
McGrady,Sr,INF, RU ,2016,6,26 ,24 ,0 ,2 ,.923 ,0 ,0 ,0 ,0 ,0 ,0 ,No
Long,Sr,P, RU ,2016,6,7 ,1 ,5 ,1 ,.857 ,0 ,0 ,1 ,.000 ,0 ,0 ,No
Benedict,Sr,INF, RU ,2016,6,33 ,7 ,21 ,5 ,.848 ,0 ,0 ,0 ,0 ,0 ,0 ,No
Kennedy,Sr,P, RU ,2016,6,6 ,2 ,3 ,1 ,.833 ,0 ,1 ,1 ,.500 ,0 ,0 ,No
DiPaola,Sr,P, RU ,2017,6,8 ,3 ,4 ,1 ,.875 ,0 ,4 ,1 ,.800 ,0 ,0 ,No
Fabricant,Sr,INF, RU ,2017,6,254 ,112 ,133 ,9 ,.965 ,40 ,0 ,0 ,0 ,0 ,0 ,No
Montano,Sr,P, RU ,2017,6,11 ,5 ,5 ,1 ,.909 ,0 ,4 ,1 ,.800 ,0 ,0 ,No
Newell,Sr,OF, RU ,2017,6,124 ,118 ,3 ,3 ,.976 ,0 ,0 ,0 ,0 ,0 ,0 ,No
Potter,Sr,OF, RU ,2017,6,29 ,29 ,0 ,0 ,1.000 ,0 ,0 ,0 ,0 ,0 ,0 ,No
Thoutt,Sr,P, RU ,2017,6,5 ,3 ,2 ,0 ,1.000 ,0 ,4 ,1 ,.800 ,0 ,0 ,No
Cilladi,Fr,INF, NMHU ,2016,7,152 ,71 ,79 ,2 ,.987 ,20 ,0 ,0 ,0 ,0 ,0 ,Yes
Hesselberg,Jr,INF, CCU ,2016,8,202 ,68 ,124 ,10 ,.950 ,22 ,0 ,0 ,0 ,0 ,0 ,Yes
Carpenter,Jr,P,CMU,2013,1,75,70,5,0,1,0,0,0,0,0,0,Yes
Mitchell,Jr,INF,CMU,2014,1,212,197,13,2,0.991,16,0,0,0,0,0,Yes
Robertson,Jr,INF,CMU,2014,1,308,105,187,16,0.948,42,0,0,0,0,0,Yes
Fife,Jr,OF, CMU ,2015,1,90 ,85 ,3 ,2 ,.978 ,0 ,0 ,0 ,0 ,0 ,0 ,Yes
Reynolds,Jr,INF, CMU ,2016,1,72 ,17 ,53 ,2 ,.972 ,6 ,0 ,0 ,0 ,0 ,0 ,Yes
Hoyt,Jr,OF,CSUP,2013,2,72,60,10,2,0.972,1,0,0,0,0,0,Yes
Mascorro,Jr,INF,CSUP,2014,3,163,47,110,6,0.963,25,0,0,0,0,0,Yes
Bregar,Jr,INF, CSUP ,2015,2,511 ,474 ,36 ,1 ,.998 ,45 ,0 ,0 ,0 ,0 ,0 ,Yes
Baca,Jr,C,MSUD,2014,7,227,193,33,1,0.996,4,39,21,0.65,3,0,Yes
O'Donnell,Jr,INF, MSUD ,2017,3,474 ,453 ,17 ,4 ,.992 ,43 ,1 ,1 ,.500 ,0 ,0 ,Yes
Brault,Jr,P,RU,2013,4,73,56,16,1,0.986,2,6,5,0.545,0,0,Yes
Wallace,R-Jr,INF,CSM,2013,5,227,85,136,6,0.974,24,0,0,0,0,0,Yes
Medina,R-Jr,INF, UCCS ,2017,5,192 ,101 ,86 ,5 ,.974 ,24 ,0 ,0 ,0 ,0 ,0 ,Yes
Madris,R-So,OF, CMU ,2017,1,175 ,168 ,3 ,4 ,.977 ,4 ,0 ,0 ,0 ,0 ,0 ,Yes
Robertson,So,INF,CMU,2013,1,224,60,153,11,0.951,35,0,0,0,0,0,Yes
Serrano,So,C, CMU ,2015,1,172 ,94 ,71 ,7 ,.959 ,13 ,15 ,3 ,.833 ,0 ,1 ,Yes
Olinger,So,UT,CSM,2014,4,124,94,25,5,0.96,5,5,1,0.833,0,0,Yes
Marvel,So,OF, CSM ,2015,6,102 ,96 ,4 ,2 ,.980 ,0 ,0 ,0 ,0 ,0 ,0 ,Yes
Gangwish,So,C, CSM ,2017,2,266 ,225 ,39 ,2 ,.992 ,2 ,18 ,16 ,.529 ,8 ,0 ,Yes
Bregar,So,INF,CSUP,2014,3,427,404,22,1,0.998,39,0,0,0,0,0,Yes
Heflebower,So,INF, RU ,2017,6,239 ,61 ,168 ,10 ,.958 ,35 ,0 ,0 ,0 ,0 ,0 ,Yes
Cicere,So,P, UCCS ,2017,5,15 ,2 ,12 ,1 ,.933 ,0 ,5 ,4 ,.556 ,0 ,0 ,Yes
Garmendia,Sr,INF, ASU ,2017,9,121 ,39 ,78 ,4 ,.967 ,5 ,0 ,0 ,0 ,0 ,0 ,Yes
Kozel,Sr,UT,CMU,2013,1,190,171,17,2,0.989,0,12,4,0.75,3,1,Yes
Kaiser,Sr,OF,CMU,2014,1,136,134,1,1,0.993,0,0,0,0,0,0,Yes
Reno,Sr,P, CMU ,2015,1,26 ,4 ,22 ,0 ,1.000 ,0 ,8 ,1 ,.889 ,0 ,0 ,Yes
Scott,Sr,INF, CMU ,2015,1,244 ,93 ,142 ,9 ,.963 ,36 ,0 ,0 ,0 ,0 ,0 ,Yes
Wallingford,Sr,C, CMU ,2015,1,367 ,321 ,39 ,7 ,.981 ,1 ,30 ,12 ,.714 ,2 ,3 ,Yes
Fife,Sr,OF, CMU ,2016,1,83 ,78 ,3 ,2 ,.976 ,2 ,0 ,0 ,0 ,0 ,0 ,Yes
Young,Sr,OF, CMU ,2016,1,92 ,88 ,3 ,1 ,.989 ,0 ,0 ,0 ,0 ,0 ,0 ,Yes
Gonzalez,Sr,OF, CMU ,2017,1,100 ,95 ,2 ,3 ,.970 ,1 ,0 ,0 ,0 ,0 ,0 ,Yes
Basil,Sr,OF,CSM,2014,4,94,89,5,0,1,1,0,0,0,0,0,Yes
Olinger,Sr,UT, CSM ,2016,2,87 ,72 ,13 ,2 ,.977 ,3 ,2 ,2 ,.500 ,0 ,0 ,Yes
Marvel,Sr,OF, CSM ,2017,2,127 ,125 ,2 ,0 ,1.000 ,0 ,0 ,0 ,0 ,0 ,0 ,Yes
Mascorro,Sr,INF, CSUP ,2015,2,215 ,74 ,128 ,13 ,.940 ,35 ,0 ,0 ,0 ,0 ,0 ,Yes
Wagner,Sr,OF, CSUP ,2015,2,90 ,83 ,4 ,3 ,.967 ,1 ,0 ,0 ,0 ,0 ,0 ,Yes
Bregar,Sr,INF, CSUP ,2016,3,417 ,394 ,20 ,3 ,.993 ,36 ,0 ,0 ,0 ,0 ,0 ,Yes
Almeida,Sr,P,NMHU,2013,3,13,2,11,0,1,0,8,2,0.8,0,0,Yes
Falcon,Sr,INF,NMHU,2013,3,152,60,87,5,0.967,20,0,0,0,0,0,Yes
McMahon,Sr,INF,NMHU,2013,3,185,111,65,9,0.951,3,17,5,0.773,4,0,Yes
Rodriguez,Sr,INF,NMHU,2014,2,134,38,88,8,0.94,7,0,0,0,0,0,Yes
Porras,Sr,OF,RU,2014,5,120,115,4,1,0.992,0,0,0,0,0,0,Yes
Overboe,Sr,C, RU ,2016,6,296 ,274 ,19 ,3 ,.990 ,4 ,18 ,8 ,.692 ,5 ,1 ,Yes
